,CinemaName,Latitude,Longitude
,The Projector at Golden Mile,1.30203,103.86299
,Shaw Tower Carnival Cinemas,1.33743,103.88496
,Golden Mile Carnival Cinemas,1.3547,103.861633
,Cineleisure Orchard Cathay,1.30257,103.83469
,Causeway Point Cathay,1.435855,103.786224
,Downtown East Cathay,1.37669,103.9564
,AMK Hub Cathay,1.36885,103.848228
,Jem Cathay,1.3335,103.744102
,Parkway Parade Cathay,1.30339,103.906792
,The Cathay Cathay,1.29954,103.846497
,West Mall Cathay,1.35012,103.748779
,King Albert Park Mall EagleWings,1.33485,103.77947
,Bugis Plus FilmGarde,1.3019,103.857018
,Century Square FilmGarde,1.35399,103.944252
,Leisure Park Kallang FilmGarde,1.30209,103.877182
,Bedok GV,1.32615,103.93074
,Bishan Junction 8 GV,1.35122,103.849762
,Capitol Theatre GV,1.29308,103.852852
,City Square Mall GV,1.31054,103.856552
,Grand Great World GV,1.29244,103.832199
,Jurong Point GV,1.35223,103.71134
,112 Katong GV,1.31228,103.89381
,Paya Lebar (SingPost Centre) GV,1.3463,103.89961
,Plaza Singapura GV,1.30042,103.8452
,Suntec City GV,1.29438,103.858772
,Tampines Mall GV,1.35282,103.944283
,Tiong Bahru Plaza GV,1.28846,103.822166
,VivoCity GV,1.26479,103.820824
,Yishun 10 GV,1.42749,103.83682
,Lido Shaw,1.30356,103.834801
,JCube Shaw,1.33352,103.74028
,Waterway Point Shaw,1.4017,103.90783
,Jewel Changi Point Shaw,1.34874,103.98494
,Balestier Shaw,1.32607,103.848846
,Lot One Shaw,1.38166,103.740318
,Nex Shaw,1.3508564,103.8723809
,Seletar Mall Shaw,1.3914388,103.876057
,321 Clementi WE Cinemas,1.312056,103.765167
,The Screening Room,1.28124,103.84563
,Art Science Museum,1.28099,103.8584
,Alliance Francaise Singapore,1.31402,103.83656
,Rex Cinemas,1.304868,103.850047
